date,sector,sentiment_lagged
2020-02-14,Industrials,0.14531999999999998
2020-02-14,Materials,0.21932000000000001
2020-02-14,RealEstate,0.31698000000000004
2020-02-14,Tech,-0.03026
2020-02-14,Utilities,0.47308000000000006
2020-02-18,Comm,0.33089999999999997
2020-02-18,Consumer,0.029840000000000012
2020-02-18,Energy,0.1186
2020-02-18,Financials,0.36212
2020-02-18,Healthcare,0.37995999999999996
2020-02-18,Industrials,0.4528
2020-02-18,Materials,0.08760000000000001
2020-02-18,RealEstate,0.26139999999999997
2020-02-18,Tech,0.30304000000000003
2020-02-18,Utilities,0.39117999999999997
2020-02-19,Comm,0.24190000000000006
2020-02-19,Consumer,0.48986
2020-02-19,Energy,0.36960000000000004
2020-02-19,Financials,-0.08344000000000001
2020-02-19,Healthcare,0.19788
2020-02-19,Industrials,0.24872
2020-02-19,Materials,0.49778
2020-02-19,RealEstate,0.368
2020-02-19,Tech,0.2698
2020-02-19,Utilities,0.63978
2020-02-20,Comm,0.17958
2020-02-20,Consumer,0.36968
2020-02-20,Energy,0.44564000000000004
2020-02-20,Financials,0.07462
2020-02-20,Healthcare,0.38286
2020-02-20,Industrials,0.31982
2020-02-20,Materials,0.2122
2020-02-20,RealEstate,0.0
2020-02-20,Tech,-0.028300000000000002
2020-02-20,Utilities,0.36272000000000004
2020-02-21,Comm,0.17352
2020-02-21,Consumer,0.12675999999999998
2020-02-21,Energy,0.49700000000000005
2020-02-21,Financials,0.41472
2020-02-21,Healthcare,0.30606
2020-02-21,Industrials,0.30204
2020-02-21,Materials,0.33698
2020-02-21,RealEstate,0.17268
2020-02-21,Tech,0.24842
2020-02-21,Utilities,0.45662
2020-02-24,Comm,-0.11703999999999999
2020-02-24,Consumer,0.4142
2020-02-24,Energy,0.19308
2020-02-24,Financials,0.56322
2020-02-24,Healthcare,0.047920000000000004
2020-02-24,Industrials,0.16054
2020-02-24,Materials,0.18774000000000002
2020-02-24,RealEstate,0.09046000000000001
2020-02-24,Tech,-0.30534
2020-02-24,Utilities,0.72334
2020-02-25,Comm,0.01883999999999999
2020-02-25,Consumer,-0.08052
2020-02-25,Energy,-0.18172000000000002
2020-02-25,Financials,0.10464
2020-02-25,Healthcare,0.30556
2020-02-25,Industrials,0.23836
2020-02-25,Materials,0.17454
2020-02-25,RealEstate,0.14701999999999998
2020-02-25,Tech,-0.08714000000000002
2020-02-25,Utilities,0.21314000000000002
2020-02-26,Comm,-0.020699999999999996
2020-02-26,Consumer,0.4168
2020-02-26,Energy,0.009180000000000011
2020-02-26,Financials,0.45926
2020-02-26,Healthcare,0.40490000000000004
2020-02-26,Industrials,0.15242
2020-02-26,Materials,0.12476000000000001
2020-02-26,RealEstate,0.17068
2020-02-26,Tech,0.06624
2020-02-26,Utilities,0.4168200000000001
2020-02-27,Comm,0.24398
2020-02-27,Consumer,0.46776
2020-02-27,Energy,0.37574
2020-02-27,Financials,0.43705999999999995
2020-02-27,Healthcare,0.29652
2020-02-27,Industrials,0.36262
2020-02-27,Materials,0.08608
2020-02-27,RealEstate,0.10185999999999999
2020-02-27,Tech,0.63294
2020-02-27,Utilities,0.25220000000000004
2020-02-28,Comm,0.19827999999999998
2020-02-28,Consumer,0.47872000000000003
2020-02-28,Energy,0.49973999999999996
2020-02-28,Financials,0.16278
2020-02-28,Healthcare,0.35236
2020-02-28,Industrials,0.15086
2020-02-28,Materials,-0.08374
2020-02-28,RealEstate,0.35648
2020-02-28,Tech,-0.5239
2020-02-28,Utilities,0.6435
